country,not_at_all_concerned,not_very_concerned,somewhat_concered,very_concerned,extremely_concerned,total_concerned,total_not_concerned,Mean
US,0.13,0.16,0.23,0.18,0.30,0.48,0.29,3.37
UK,0.04,0.13,0.39,0.27,0.17,0.44,0.17,3.39
Germany,0.03,0.12,0.41,0.27,0.17,0.44,0.15,3.43
France,0.08,0.15,0.33,0.28,0.15,0.44,0.23,3.28
Italy,0.03,0.14,0.39,0.29,0.15,0.44,0.17,3.39
Spain,0.02,0.06,0.25,0.36,0.30,0.66,0.08,3.85
Portugal,0.03,0.09,0.34,0.34,0.21,0.54,0.12,3.61
Ireland,0.04,0.11,0.34,0.30,0.20,0.50,0.16,3.5
Norway,0.04,0.20,0.42,0.25,0.09,0.34,0.24,3.16
Sweden,0.06,0.24,0.33,0.21,0.16,0.37,0.30,3.18
Finland,0.04,0.14,0.34,0.28,0.21,0.49,0.17,3.49
Denmark,0.05,0.28,0.38,0.19,0.10,0.29,0.33,3.01
Belgium,0.05,0.16,0.40,0.28,0.12,0.40,0.21,3.26
Netherlands,0.03,0.16,0.42,0.29,0.11,0.40,0.19,3.29
Switzerland,0.04,0.12,0.36,0.31,0.17,0.47,0.16,3.44
Austria,0.02,0.09,0.33,0.31,0.24,0.56,0.11,3.67
Hungary,0.04,0.09,0.28,0.32,0.27,0.59,0.13,3.69
Slovakia,0.07,0.14,0.42,0.26,0.10,0.36,0.22,3.18
Czech Republic,0.06,0.16,0.38,0.27,0.14,0.41,0.22,3.27
Poland,0.04,0.09,0.27,0.35,0.24,0.59,0.13,3.66
Romania,0.03,0.07,0.28,0.33,0.28,0.61,0.11,3.76
Bulgaria,0.03,0.08,0.36,0.33,0.20,0.53,0.11,3.58
Croatia,0.05,0.15,0.29,0.31,0.19,0.50,0.21,3.43
Greece,0.04,0.09,0.27,0.37,0.24,0.60,0.13,3.68
Turkey,0.05,0.10,0.31,0.29,0.25,0.54,0.14,3.6
Japan,0.02,0.17,0.50,0.23,0.09,0.32,0.19,3.2
Republic of Korea,0.01,0.08,0.38,0.34,0.19,0.53,0.09,3.63
Taiwan,0.11,0.32,0.37,0.16,0.04,0.20,0.44,2.68
Hong Kong,0.02,0.17,0.45,0.24,0.12,0.36,0.19,3.27
Malaysia,0.03,0.09,0.35,0.33,0.20,0.53,0.12,3.58
Singapore,0.02,0.10,0.38,0.33,0.18,0.51,0.12,3.55
Australia,0.04,0.12,0.31,0.31,0.22,0.53,0.16,3.55
Canada,0.04,0.13,0.30,0.30,0.23,0.53,0.17,3.54
Brazil,0.04,0.07,0.23,0.36,0.30,0.66,0.11,3.81
Argentina,0.07,0.09,0.24,0.32,0.28,0.60,0.16,3.64
Chile,0.08,0.10,0.23,0.32,0.26,0.58,0.18,3.58
Mexico,0.05,0.08,0.24,0.35,0.29,0.63,0.13,3.75
