question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
News outlet NOT primarily dependent on advertising for financial support,PBS (Correct),1094,626,469,1094,68,153,183,178,274,237,1094,40,83,107,112,152,132,28,71,76,66,122,105,1094,16,7,35,9,105,33,11,4,13,79,34,2,12,51,28,17,10,17,7,3,15,20,37,19,6,24,6,4,12,7,26,6,61,26,1,43,9,21,55,3,10,2,19,80,8,1,26,20,5,30,2,1094,187,265,375,267,1094,13,27,38,39,53,44,46,47,40,45,75,39,62,81,101,102,80,17,144,1094,402,411,281,1074,401,261,413,1094,397,276,422,1094,251,843
News outlet NOT primarily dependent on advertising for financial support,Fox News,173,91,83,173,26,45,34,23,22,24,173,17,19,25,11,10,9,9,26,9,12,12,16,173,4,-,2,2,24,1,1,1,1,16,1,-,-,5,2,1,1,2,3,1,2,6,3,2,3,5,2,2,4,-,4,-,13,4,-,6,1,5,10,2,4,-,4,11,2,1,4,1,-,5,-,173,38,32,63,41,173,11,5,11,8,9,9,9,10,12,12,8,4,6,8,9,10,7,9,18,173,31,69,73,164,28,67,69,173,71,38,65,173,10,163
News outlet NOT primarily dependent on advertising for financial support,New York Times,117,55,62,117,25,33,31,11,12,5,117,11,16,14,4,7,2,14,17,16,8,4,3,117,2,-,2,-,22,2,3,1,-,9,4,-,2,1,2,1,-,1,2,-,3,2,2,1,-,2,1,1,2,-,5,1,17,-,1,3,-,2,6,-,2,-,-,6,2,-,-,2,-,3,-,117,33,16,30,39,117,14,5,6,6,13,6,4,6,3,2,4,6,4,10,6,9,2,6,8,117,25,38,53,113,28,34,50,117,50,36,32,117,7,111
News outlet NOT primarily dependent on advertising for financial support,USA Today,131,79,52,131,36,41,22,10,14,7,131,25,18,17,9,9,1,11,23,6,1,5,6,131,2,-,7,-,25,1,1,-,-,15,4,-,-,4,3,-,4,3,3,1,1,2,2,-,2,1,-,-,-,-,2,1,5,1,-,9,-,-,8,-,1,-,1,9,-,-,9,2,-,1,-,131,19,24,51,36,131,10,6,3,10,9,6,7,5,8,8,8,2,6,5,12,15,1,6,4,131,29,50,52,126,21,44,62,131,63,34,33,131,11,119
News outlet NOT primarily dependent on advertising for financial support,Incorrect,1304,566,738,1304,206,294,259,155,219,171,1304,107,116,131,67,91,53,99,178,128,88,127,118,1304,29,1,34,10,160,24,11,3,2,97,32,-,8,40,22,10,10,32,16,5,25,21,34,16,8,24,8,5,16,6,33,8,99,33,2,51,11,12,71,7,24,2,25,108,12,2,40,24,6,23,2,1304,256,237,502,310,1304,93,49,73,83,82,86,64,58,51,52,64,31,49,57,62,91,30,76,154,1304,222,430,652,1164,226,407,531,1304,374,254,677,1304,88,1216
Typically responsible for writing a press release,A spokesperson for an organisation  (Correct),846,435,411,846,71,146,153,137,182,157,846,34,74,78,83,94,72,37,72,75,54,88,85,846,17,3,30,7,101,21,11,2,10,57,21,1,9,34,18,12,5,22,2,-,14,12,29,13,2,17,3,3,14,5,19,6,56,18,1,30,7,14,37,3,9,-,17,68,7,1,18,17,5,19,2,846,143,180,296,228,846,22,32,29,40,48,33,39,34,44,34,47,24,40,58,73,81,55,18,93,846,295,305,246,833,328,176,329,846,342,219,285,846,188,658
Typically responsible for writing a press release,A reporter for a news organisation,419,210,209,419,45,71,72,50,100,82,419,31,30,43,24,46,36,14,41,29,26,54,46,419,3,3,8,2,40,9,2,2,3,37,19,-,3,12,13,3,7,4,6,1,4,5,16,6,5,10,1,1,2,-,11,1,35,12,-,15,4,5,27,2,10,3,6,27,5,1,13,4,2,10,-,419,82,97,159,81,419,20,6,23,25,24,23,20,22,13,18,27,11,26,24,33,35,19,15,35,419,107,172,140,402,75,143,184,419,141,101,177,419,53,365
Typically responsible for writing a press release,A lawyer for a news aggregator,83,54,29,83,12,22,17,7,16,8,83,9,14,10,3,11,6,3,8,7,3,5,2,83,1,-,7,-,16,1,-,-,-,3,2,-,-,3,1,-,1,2,1,-,-,-,-,1,-,2,1,-,2,-,3,1,5,1,-,6,2,-,8,1,-,-,1,6,-,-,4,2,-,-,-,83,16,14,23,29,83,8,-,4,4,1,3,4,4,5,4,4,5,3,12,5,7,4,3,4,83,34,20,29,81,20,21,39,83,38,21,23,83,15,67
Typically responsible for writing a press release,A producer for a news organisation,278,171,107,278,28,46,47,39,54,63,278,19,26,34,22,32,37,9,21,13,17,22,26,278,5,1,5,3,26,7,2,2,-,20,6,1,2,14,4,2,4,8,1,3,4,6,8,4,4,7,2,1,1,2,11,1,21,5,-,9,1,4,15,2,6,-,3,27,2,1,11,3,-,3,-,278,61,55,107,55,278,16,4,17,8,11,17,12,18,13,12,20,10,9,11,19,22,12,7,40,278,71,116,90,270,62,108,101,278,119,62,97,278,37,242
Typically responsible for writing a press release,Incorrect,1553,757,796,1553,204,302,289,196,311,251,1553,113,126,159,96,149,113,90,176,130,100,162,138,1553,29,5,38,12,165,36,12,5,6,119,45,1,11,58,32,14,15,28,20,8,26,29,42,22,13,31,10,6,14,8,40,8,105,41,2,65,13,19,90,7,24,4,27,119,13,2,49,27,6,34,2,1553,301,322,581,348,1553,84,43,82,82,87,97,71,71,48,63,92,46,71,80,90,112,54,75,205,1553,329,536,687,1405,299,492,614,1553,428,310,814,1553,151,1401
How are individual decisions abut what news to show people on Facebook made,By computer analysis of what stories might interest you  (Correct),690,386,304,690,89,151,152,93,129,75,690,52,81,85,61,70,37,37,70,68,32,59,38,690,10,4,17,6,88,18,12,1,6,40,16,1,5,30,11,10,7,15,2,-,6,13,26,11,4,17,3,4,9,2,14,4,32,12,1,29,5,12,36,3,8,1,8,70,5,1,20,15,3,14,1,690,112,161,234,183,690,24,17,26,25,31,30,24,30,32,30,47,20,34,45,67,73,49,17,67,690,234,262,194,671,306,102,262,690,276,182,232,690,146,544
How are individual decisions abut what news to show people on Facebook made,By editors and journalists that work for Facebook,334,173,162,334,35,70,42,41,69,77,334,18,33,32,17,35,37,17,37,10,24,34,40,334,6,1,8,6,43,5,2,1,2,30,15,-,2,16,9,1,1,9,3,-,8,2,9,4,3,10,1,1,3,-,8,2,29,7,-,8,3,3,17,5,6,-,4,23,3,1,5,4,1,6,1,334,63,64,131,77,334,26,18,11,12,20,15,11,16,19,13,16,9,14,17,23,26,20,8,40,334,107,115,112,324,63,117,144,334,146,74,115,334,61,274
How are individual decisions abut what news to show people on Facebook made,By editors and journalists that work for news outlets,227,115,112,227,27,43,49,31,40,38,227,21,18,27,18,15,14,6,25,21,12,24,23,227,5,-,10,1,18,8,1,1,-,15,3,-,1,5,3,4,2,9,-,1,7,2,5,2,2,4,2,1,1,4,9,2,21,4,-,12,4,4,10,-,1,-,8,19,1,1,10,2,1,2,-,227,49,40,89,48,227,7,10,12,8,6,13,13,15,9,15,15,9,12,11,10,19,8,11,23,227,71,75,81,224,50,69,106,227,113,58,56,227,31,196
