entity,question_choice,age,count
Media companies and journalists,Strongly disagree,18-24,12
Media companies and journalists,Disagree,18-24,26
Media companies and journalists,Tend to disagree,18-24,15
Media companies and journalists,Neither agree nor disagree,18-24,84
Media companies and journalists,Tend to agree,18-24,90
Media companies and journalists,Agree,18-24,164
Media companies and journalists,Strongly agree,18-24,74
Media companies and journalists,Strongly disagree,25-34,27
Media companies and journalists,Disagree,25-34,53
Media companies and journalists,Tend to disagree,25-34,27
Media companies and journalists,Neither agree nor disagree,25-34,116
Media companies and journalists,Tend to agree,25-34,146
Media companies and journalists,Agree,25-34,278
Media companies and journalists,Strongly agree,25-34,132
Media companies and journalists,Strongly disagree,35-44,31
Media companies and journalists,Disagree,35-44,54
Media companies and journalists,Tend to disagree,35-44,23
Media companies and journalists,Neither agree nor disagree,35-44,99
Media companies and journalists,Tend to agree,35-44,160
Media companies and journalists,Agree,35-44,289
Media companies and journalists,Strongly agree,35-44,129
Media companies and journalists,Strongly disagree,45-54,9
Media companies and journalists,Disagree,45-54,27
Media companies and journalists,Tend to disagree,45-54,18
Media companies and journalists,Neither agree nor disagree,45-54,61
Media companies and journalists,Tend to agree,45-54,140
Media companies and journalists,Agree,45-54,245
Media companies and journalists,Strongly agree,45-54,105
Media companies and journalists,Strongly disagree,55-64,13
Media companies and journalists,Disagree,55-64,26
Media companies and journalists,Tend to disagree,55-64,13
Media companies and journalists,Neither agree nor disagree,55-64,64
Media companies and journalists,Tend to agree,55-64,194
Media companies and journalists,Agree,55-64,404
Media companies and journalists,Strongly agree,55-64,210
Media companies and journalists,Strongly disagree,65+,11
Media companies and journalists,Disagree,65+,22
Media companies and journalists,Tend to disagree,65+,11
Media companies and journalists,Neither agree nor disagree,65+,47
Media companies and journalists,Tend to agree,65+,165
Media companies and journalists,Agree,65+,340
Media companies and journalists,Strongly agree,65+,175
