trust_level,brand,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust in Brands (6-10),Fox News,1035,519,515,1035,108,168,178,154,212,215,1035,60,76,95,80,107,102,48,92,83,74,106,112,1035,21,2,32,10,102,25,8,6,4,88,28,1,8,36,20,7,7,24,10,5,20,12,22,15,9,30,5,1,10,4,30,6,74,32,,40,7,14,51,2,14,2,22,86,8,2,30,13,5,25,,1035,187,207,415,226,1035,45,36,56,48,58,49,43,54,38,39,65,33,55,57,78,85,50,31,116,1035,266,406,363,992,199,365,428,1035,366,238,431,1035,134,901
Trust in Brands (6-10),CNN,1215,592,623,1215,146,227,242,176,244,180,1215,76,105,121,97,117,77,71,122,121,79,127,103,1215,24,1,25,7,145,32,12,3,10,76,36,2,5,49,26,12,6,20,10,1,22,23,45,24,8,25,7,6,7,4,32,7,98,33,2,56,10,23,64,4,19,1,16,84,12,2,30,20,3,23,2,1215,240,275,412,288,1215,59,47,62,58,68,57,58,51,42,54,72,33,52,79,97,91,68,52,113,1215,375,449,391,1177,367,324,486,1215,428,289,498,1215,192,1023
Trust in Brands (6-10),NBC/MSNBC News,1240,601,639,1240,135,222,236,184,269,195,1240,72,110,114,96,125,84,63,112,122,88,143,111,1240,23,,28,6,146,30,13,2,9,77,35,1,7,51,29,12,10,25,10,,25,21,47,21,10,23,7,5,7,5,34,7,98,29,2,56,12,22,70,4,19,2,20,87,7,2,33,24,3,26,2,1240,245,283,425,287,1240,51,44,64,64,68,69,61,54,42,57,77,37,59,77,93,99,63,50,111,1240,375,474,392,1200,358,336,505,1240,430,285,525,1240,191,1049
Trust in Brands (6-10),ABC News,1301,628,673,1301,147,230,245,194,279,206,1301,75,110,123,102,134,84,72,119,121,93,145,123,1301,26,2,28,9,157,29,14,5,8,81,38,1,7,56,26,11,9,27,12,3,19,23,43,22,11,23,8,5,10,4,37,7,102,30,1,58,10,20,73,4,20,1,24,96,9,2,35,23,3,29,2,1301,261,284,453,303,1301,59,48,68,69,66,66,64,58,44,62,77,36,62,75,100,108,63,51,124,1301,382,486,432,1258,380,361,517,1301,459,301,540,1301,196,1104
Trust in Brands (6-10),CBS News,1312,648,664,1312,144,237,249,189,279,215,1312,81,115,126,103,135,88,63,122,123,86,144,127,1312,20,3,26,11,146,26,14,5,9,83,44,1,7,57,30,14,9,25,10,2,25,22,44,23,9,23,7,3,10,5,36,8,102,32,2,58,9,22,71,4,19,2,23,99,11,2,36,25,3,30,2,1312,257,294,466,295,1312,52,52,67,70,63,70,66,58,48,70,80,33,59,81,95,107,72,50,120,1312,386,510,416,1269,381,359,529,1312,444,318,551,1312,198,1114
Trust in Brands (6-10),Yahoo! News,896,469,427,896,97,164,196,140,181,118,896,58,76,108,79,91,57,39,89,88,61,90,61,896,22,,13,8,97,20,10,3,5,68,25,2,2,38,20,6,6,16,10,1,19,14,31,13,7,19,3,5,9,,23,5,72,22,1,35,7,11,48,2,18,,15,78,6,2,23,14,4,19,,896,172,193,350,181,896,47,32,47,52,45,48,41,41,33,40,47,28,43,55,75,72,46,36,71,896,267,324,305,866,253,231,382,896,345,210,342,896,133,764
Trust in Brands (6-10),Local television news,1515,738,777,1515,157,260,286,217,325,271,1515,89,124,142,113,155,115,68,136,143,103,170,157,1515,26,3,36,12,149,39,14,6,8,97,49,1,13,65,33,14,14,28,17,6,24,20,48,26,10,34,8,8,13,8,38,11,96,39,2,67,13,25,84,4,23,4,28,128,11,3,40,28,6,35,1,1515,273,348,554,340,1515,55,53,85,79,86,82,75,69,56,75,97,45,70,89,107,119,73,48,153,1515,417,575,523,1459,408,430,621,1515,503,344,668,1515,212,1302
Trust in Brands (6-10),New York Times,1259,615,644,1259,163,244,240,180,255,177,1259,85,115,115,102,124,74,78,129,125,79,131,102,1259,23,4,28,7,159,27,13,4,7,80,34,1,5,48,27,15,8,19,12,2,23,25,43,21,7,26,6,6,10,5,35,6,104,30,2,56,8,25,62,5,21,,18,100,10,2,32,24,3,22,2,1259,251,272,428,307,1259,59,37,63,66,70,61,53,52,46,59,77,37,61,75,97,102,73,55,117,1259,384,465,411,1225,416,306,503,1259,447,302,510,1259,200,1059
Trust in Brands (6-10),Washington Post,1225,605,621,1225,148,225,241,175,259,177,1225,81,99,122,103,122,77,67,126,119,72,137,100,1225,22,2,24,8,151,27,13,4,10,83,34,1,9,44,27,14,8,18,12,2,22,25,42,20,9,24,7,6,10,5,33,7,97,26,2,54,11,20,70,3,18,,20,89,7,2,32,23,3,22,2,1225,249,263,423,289,1225,51,45,64,60,63,55,53,51,42,55,78,35,59,79,97,112,71,45,111,1225,389,467,369,1191,399,300,492,1225,428,301,496,1225,208,1017
Trust in Brands (6-10),HuffPost (Huffington Post),955,451,505,955,119,190,171,129,205,142,955,62,83,74,71,100,59,57,107,96,57,105,83,955,20,1,17,4,114,20,9,3,7,71,30,1,6,37,25,14,6,15,9,1,18,17,32,12,10,18,6,5,9,1,29,5,72,19,2,38,9,19,56,1,12,1,14,66,7,2,25,18,2,20,1,955,189,208,336,223,955,41,30,54,45,52,51,49,35,37,52,62,26,44,59,75,74,58,31,79,955,305,363,287,941,313,228,400,955,363,232,360,955,158,797
