question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55+,18-20,21-24,U35,35+,U45,45+,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55+,M 18-20,M 21-24,M U35,M 35+,M U45,M 45+,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55+,F 18-20,F 21-24,F U35,F 35+,F U45,F 45+,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust Most News Most of the Time,Strongly disagree,405,237,168,405,30,68,69,49,190,10,20,98,307,167,239,89,101,405,20,39,46,30,102,7,13,60,178,106,132,49,53,9,29,23,19,88,3,7,38,130,61,107,40,48,405,9,1,13,4,48,10,5,1,2,41,12,1,8,14,4,3,4,11,2,,6,8,11,7,2,11,2,,5,3,7,3,18,10,,16,6,4,17,3,3,1,6,26,4,,15,10,2,7,,405,62,77,156,110,405,15,12,10,20,18,24,11,19,18,9,18,13,25,21,35,34,22,11,70,405,125,136,145,374,89,116,168,405,156,95,155,405,76,329
Trust Most News Most of the Time,Tend to disagree,554,288,266,554,83,96,94,74,207,36,47,179,375,273,281,113,93,554,45,42,54,44,103,19,26,87,201,141,147,53,50,38,54,40,31,104,17,21,92,175,132,134,60,44,554,6,1,20,2,64,14,5,1,4,40,12,,4,22,13,11,2,16,7,3,5,6,12,6,4,4,4,2,9,3,15,2,29,8,1,24,8,8,30,,8,1,13,56,3,,20,12,6,10,,554,91,107,215,142,554,22,12,29,16,35,21,28,31,32,27,41,13,19,32,28,57,23,22,69,554,129,195,231,535,163,134,238,554,180,147,227,554,79,475
Trust Most News Most of the Time,Neither nor,612,258,354,612,83,145,124,85,175,32,51,228,384,352,260,107,68,612,39,50,59,38,72,16,23,89,169,148,110,52,20,44,94,65,47,103,17,28,139,215,203,150,55,48,612,14,4,14,5,70,16,4,2,6,41,16,1,3,28,11,7,8,9,7,4,12,14,21,6,3,15,6,5,7,4,10,4,37,14,1,17,4,3,34,4,10,2,12,51,7,2,8,9,1,15,3,612,114,136,215,147,612,37,21,26,41,34,40,25,16,14,24,37,21,27,26,35,46,14,32,95,612,102,197,313,531,149,177,204,612,148,99,366,612,44,568
Trust Most News Most of the Time,Tend to agree,683,330,352,683,65,103,129,108,277,22,43,168,514,297,385,158,119,683,35,51,65,55,124,13,22,85,245,151,179,74,50,31,52,64,53,153,9,21,83,270,146,206,84,69,683,13,2,18,9,73,14,8,3,3,48,24,,3,23,16,3,5,10,4,1,17,9,19,13,1,15,3,2,3,2,21,3,58,23,1,32,2,17,36,2,11,,11,44,4,1,19,12,2,20,1,683,139,149,243,152,683,19,28,39,37,40,35,40,33,25,35,36,19,34,51,54,49,41,21,47,683,202,278,203,667,195,197,274,683,229,155,298,683,105,577
Trust Most News Most of the Time,Strongly Agree,144,78,67,144,13,35,26,17,52,7,7,49,96,75,70,26,26,144,8,16,14,12,28,4,4,24,53,38,40,16,12,5,19,13,5,25,3,3,24,42,37,30,10,14,144,4,,3,,10,2,,,*,6,3,,2,3,6,2,1,4,2,,2,3,8,3,4,2,,1,4,1,5,1,18,4,,5,,2,10,1,1,,1,12,1,,5,,,1,,144,38,33,48,26,144,13,3,7,8,8,11,6,6,2,2,7,3,6,9,12,8,10,8,17,144,67,35,42,132,30,44,58,144,58,34,53,144,34,110
Trust Most News Most of the Time,Agree,827,408,419,827,78,138,155,125,330,28,50,217,610,372,455,184,146,827,43,67,79,67,152,16,26,110,298,189,219,90,62,36,71,76,58,178,12,24,107,312,183,236,94,83,827,16,2,22,9,83,17,8,3,3,54,27,,5,27,22,5,6,14,6,1,18,12,26,16,5,17,3,3,7,3,27,4,76,27,1,37,2,18,46,4,12,,12,56,5,1,23,12,2,21,1,827,177,181,291,178,827,31,31,46,44,48,46,46,39,28,37,43,22,41,59,66,56,51,29,64,827,269,313,245,798,225,240,333,827,287,189,351,827,140,687
Trust Most News Most of the Time,Disagree,960,525,434,960,113,165,163,123,397,45,67,277,682,440,520,202,194,960,66,82,99,74,205,26,40,147,378,247,279,102,103,47,83,63,49,191,19,28,130,304,193,241,100,91,960,15,2,33,5,112,25,10,2,6,80,23,1,12,36,16,13,6,27,9,3,10,14,23,12,6,15,5,2,14,6,22,6,48,18,1,40,14,12,47,3,11,2,19,81,8,,35,23,8,17,,960,152,184,371,252,960,37,24,39,36,53,44,39,50,50,36,59,26,44,53,62,90,45,32,139,960,254,331,375,910,253,250,406,960,336,241,382,960,155,804
Trust most of the news I consume most of the time,Strongly disagree,164,104,61,164,17,42,36,17,52,11,6,59,105,95,69,28,24,164,12,21,29,11,30,9,3,33,70,63,41,14,15,5,21,6,6,22,2,3,26,35,32,29,13,9,164,2,,7,1,15,4,2,,2,18,6,,2,5,3,3,,4,2,,2,4,5,4,1,2,1,,1,1,3,2,12,2,,1,5,3,7,2,1,,2,15,3,,7,3,1,2,,164,31,25,68,40,164,7,6,10,11,8,11,5,9,5,6,5,3,8,9,11,11,6,10,24,164,36,52,76,149,26,46,78,164,52,38,74,164,17,147
Trust most of the news I consume most of the time,Tend to disagree,349,184,165,349,58,52,64,44,131,21,37,110,239,174,175,66,64,349,30,25,35,25,70,12,17,55,130,89,95,35,34,29,26,30,19,61,9,20,55,110,85,80,31,30,349,5,,12,1,44,6,1,,1,27,8,,4,15,2,2,4,6,5,2,3,4,7,4,1,3,,,4,1,11,2,18,6,2,18,5,5,21,1,9,2,12,37,2,,11,8,3,5,,349,59,64,139,88,349,18,12,14,14,18,18,12,19,18,13,23,10,11,15,23,32,12,12,54,349,75,118,156,333,97,101,135,349,123,82,144,349,49,300
Trust most of the news I consume most of the time,Neither nor,680,305,375,680,92,162,145,83,199,33,59,254,426,399,281,120,78,680,48,67,73,36,81,16,32,115,190,188,117,57,24,44,96,72,46,118,17,27,139,236,211,164,63,55,680,14,1,19,7,74,13,9,2,2,49,16,,6,29,19,7,8,15,6,5,11,15,21,10,5,9,6,3,8,6,18,4,44,18,1,18,9,3,33,4,8,1,7,62,8,1,16,15,5,14,2,680,134,138,251,158,680,49,19,31,34,42,43,39,23,19,27,41,18,31,39,29,51,13,33,100,680,106,213,361,590,152,183,255,680,170,124,386,680,54,626
