brand,trust_count,distrust_count,count_total,trust_perc,distrust_perc
Fox News,1035,943,1978,0.523255814,0.476744186
CNN,1215,767,1982,0.613017154,0.386982846
NBC/MSNBC News,1240,664,1904,0.651260504,0.348739496
ABC News,1301,573,1874,0.694236926,0.305763074
CBS News,1312,583,1895,0.692348285,0.307651715
Yahoo! News,896,603,1499,0.597731821,0.402268179
Local television news,1515,333,1848,0.819805195,0.180194805
New York Times,1259,649,1908,0.659853249,0.340146751
Washington Post,1225,585,1810,0.67679558,0.32320442
HuffPost (Huffington Post),955,685,1640,0.582317073,0.417682927
Buzzfeed News,734,680,1414,0.519094767,0.480905233
NPR News,976,502,1478,0.660351827,0.339648173
Breitbart,455,931,1386,0.328282828,0.671717172
Wall Street Journal,1319,447,1766,0.746885617,0.253114383
Vice News,529,409,938,0.563965885,0.436034115
