year,age,total_pop,male_pop,female_pop,total_pct,male_pct,female_pct,sex_ratio
1980,Total,227224681,110398730,116825951,100.0,100.0,100.0,94.5
1980,0-4,16451184,8414215,8036969,7.2,7.6,6.9,104.7
1980,5-9,16602353,8491414,8110939,7.3,7.7,6.9,104.7
1980,10-14,18236335,9313212,8923123,8.0,8.4,7.6,104.4
1980,15-19,21110940,10729565,10381375,9.3,9.7,8.9,103.4
1980,20-24,21385705,10702344,10683361,9.4,9.7,9.1,100.2
1980,25-29,19685966,9792574,9893392,8.7,8.9,8.5,99.0
1980,30-34,17742706,8771495,8971211,7.8,7.9,7.7,97.8
1980,35-39,14076734,6917688,7159046,6.2,6.3,6.1,96.6
1980,40-44,11728497,5739131,5989366,5.2,5.2,5.1,95.8
1980,45-49,11048040,5371215,5676825,4.9,4.9,4.9,94.6
1980,50-54,11694715,5616314,6078401,5.1,5.1,5.2,92.4
1980,55-59,11611382,5477913,6133469,5.1,5.0,5.3,89.3
1980,60-64,10142668,4697354,5445314,4.5,4.3,4.7,86.3
1980,65-69,8809479,3915788,4893691,3.9,3.5,4.2,80.0
1980,70-74,6841235,2871581,3969654,3.0,2.6,3.4,72.3
1980,75-79,4829832,1862070,2967762,2.1,1.7,2.5,62.7
1980,80-84,2955279,1026205,1929074,1.3,0.9,1.7,53.2
1980,85-89,1580234,499083,1081151,0.7,0.5,0.9,46.2
1980,90-94,557241,156430,400811,0.2,0.1,0.3,39.0
1980,95-99,119057,29895,89162,0.1,0.0,0.1,33.5
1980,100+,15099,3244,11855,0.0,0.0,0.0,27.4
1985,Total,237923795,115729534,122194261,100.0,100.0,100.0,94.7
1985,0-4,17841621,9126958,8714663,7.5,7.9,7.1,104.7
1985,5-9,16664857,8528140,8136717,7.0,7.4,6.7,104.8
1985,10-14,17027433,8718569,8308864,7.2,7.5,6.8,104.9
1985,15-19,18727238,9553032,9174206,7.9,8.3,7.5,104.1
1985,20-24,21264605,10723109,10541496,8.9,9.3,8.6,101.7
1985,25-29,21671065,10848485,10822580,9.1,9.4,8.9,100.2
1985,30-34,20025358,9944470,10080888,8.4,8.6,8.2,98.6
1985,35-39,17603617,8677547,8926070,7.4,7.5,7.3,97.2
1985,40-44,14087397,6916429,7170968,5.9,6.0,5.9,96.5
1985,45-49,11605636,5672121,5933515,4.9,4.9,4.9,95.6
1985,50-54,10853668,5244421,5609247,4.6,4.5,4.6,93.5
1985,55-59,11228652,5326794,5901858,4.7,4.6,4.8,90.3
1985,60-64,10906469,5057169,5849300,4.6,4.4,4.8,86.5
1985,65-69,9343205,4180380,5162825,3.9,3.6,4.2,81.0
1985,70-74,7515455,3158447,4357008,3.2,2.7,3.6,72.5
1985,75-79,5510861,2128936,3381925,2.3,1.8,2.8,63.0
1985,80-84,3379386,1163183,2216203,1.4,1.0,1.8,52.5
1985,85-89,1766474,531706,1234768,0.7,0.5,1.0,43.1
1985,90-94,695972,183284,512688,0.3,0.2,0.4,35.7
1985,95-99,179472,41957,137515,0.1,0.0,0.1,30.5
1985,100+,25354,4397,20957,0.0,0.0,0.0,21.0
1990,Total,249622814,121713764,127909050,100.0,100.0,100.0,95.2
1990,0-4,18856447,9649628,9206819,7.6,7.9,7.2,104.8
1990,5-9,18076746,9253842,8822904,7.2,7.6,6.9,104.9
1990,10-14,17212887,8817214,8395673,6.9,7.2,6.6,105.0
1990,15-19,17771593,9116084,8655509,7.1,7.5,6.8,105.3
1990,20-24,19150386,9754135,9396251,7.7,8.0,7.3,103.8
1990,25-29,21277047,10682257,10594790,8.5,8.8,8.3,100.8
1990,30-34,21938773,10922037,11016736,8.8,9.0,8.6,99.1
1990,35-39,19990295,9908868,10081427,8.0,8.1,7.9,98.3
1990,40-44,17792942,8779241,9013701,7.1,7.2,7.0,97.4
1990,45-49,13829016,6781742,7047274,5.5,5.6,5.5,96.2
1990,50-54,11377762,5526137,5851625,4.6,4.5,4.6,94.4
1990,55-59,10478159,5006863,5471296,4.2,4.1,4.3,91.5
1990,60-64,10623482,4950371,5673111,4.3,4.1,4.4,87.3
1990,65-69,10078923,4514029,5564894,4.0,3.7,4.4,81.1
1990,70-74,8025063,3423889,4601174,3.2,2.8,3.6,74.4
1990,75-79,6146996,2410647,3736349,2.5,2.0,2.9,64.5
1990,80-84,3936697,1365744,2570953,1.6,1.1,2.0,53.1
1990,85-89,2053620,611674,1441946,0.8,0.5,1.1,42.4
1990,90-94,764297,187978,576319,0.3,0.2,0.5,32.6
1990,95-99,205197,43636,161561,0.1,0.0,0.1,27.0
1990,100+,36486,7748,28738,0.0,0.0,0.0,27.0
2000,Total,282162411,138443407,143719004,100.0,100.0,100.0,96.3
2000,0-4,19178293,9810619,9367674,6.8,7.1,6.5,104.7
2000,5-9,20463852,10479357,9984495,7.3,7.6,6.9,105.0
2000,10-14,20637696,10574642,10063054,7.3,7.6,7.0,105.1
2000,15-19,20294955,10440023,9854932,7.2,7.5,6.9,105.9
2000,20-24,19116667,9766853,9349814,6.8,7.1,6.5,104.5
2000,25-29,19280263,9747890,9532373,6.8,7.0,6.6,102.3
2000,30-34,20524234,10329041,10195193,7.3,7.5,7.1,101.3
2000,35-39,22650852,11293101,11357751,8.0,8.2,7.9,99.4
2000,40-44,22517991,11166435,11351556,8.0,8.1,7.9,98.4
2000,45-49,20219527,9953393,10266134,7.2,7.2,7.1,97.0
2000,50-54,17779447,8703385,9076062,6.3,6.3,6.3,95.9
2000,55-59,13565937,6557328,7008609,4.8,4.7,4.9,93.6
2000,60-64,10863129,5166923,5696206,3.8,3.7,4.0,90.7
2000,65-69,9523909,4398477,5125432,3.4,3.2,3.6,85.8
2000,70-74,8860028,3910134,4949894,3.1,2.8,3.4,79.0
