question,agreement,age,count
Trust news in social media most of the time,Strongly disagree,18-24,46
Trust news in social media most of the time,Disagree,18-24,151
Trust news in social media most of the time,Tend to disagree,18-24,105
Trust news in social media most of the time,Neither agree nor disagree,18-24,90
Trust news in social media most of the time,Tend to agree,18-24,27
Trust news in social media most of the time,Agree,18-24,32
Trust news in social media most of the time,Strongly agree,18-24,6
Trust news in social media most of the time,Strongly disagree,25-34,97
Trust news in social media most of the time,Disagree,25-34,237
Trust news in social media most of the time,Tend to disagree,25-34,140
Trust news in social media most of the time,Neither agree nor disagree,25-34,126
Trust news in social media most of the time,Tend to agree,25-34,55
Trust news in social media most of the time,Agree,25-34,85
Trust news in social media most of the time,Strongly agree,25-34,30
Trust news in social media most of the time,Strongly disagree,35-44,101
Trust news in social media most of the time,Disagree,35-44,241
Trust news in social media most of the time,Tend to disagree,35-44,140
Trust news in social media most of the time,Neither agree nor disagree,35-44,134
Trust news in social media most of the time,Tend to agree,35-44,50
Trust news in social media most of the time,Agree,35-44,67
Trust news in social media most of the time,Strongly agree,35-44,17
Trust news in social media most of the time,Strongly disagree,45-54,80
Trust news in social media most of the time,Disagree,45-54,187
Trust news in social media most of the time,Tend to disagree,45-54,107
Trust news in social media most of the time,Neither agree nor disagree,45-54,98
Trust news in social media most of the time,Tend to agree,45-54,38
Trust news in social media most of the time,Agree,45-54,47
Trust news in social media most of the time,Strongly agree,45-54,10
Trust news in social media most of the time,Strongly disagree,55-64,139
Trust news in social media most of the time,Disagree,55-64,300
Trust news in social media most of the time,Tend to disagree,55-64,161
Trust news in social media most of the time,Neither agree nor disagree,55-64,136
Trust news in social media most of the time,Tend to agree,55-64,52
Trust news in social media most of the time,Agree,55-64,57
Trust news in social media most of the time,Strongly agree,55-64,5
Trust news in social media most of the time,Strongly disagree,65+,125
Trust news in social media most of the time,Disagree,65+,262
Trust news in social media most of the time,Tend to disagree,65+,138
Trust news in social media most of the time,Neither agree nor disagree,65+,116
Trust news in social media most of the time,Tend to agree,65+,28
Trust news in social media most of the time,Agree,65+,30
Trust news in social media most of the time,Strongly agree,65+,2
