,Total,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust Most News Most of the Time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust most of the news I consume most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in social media most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust news in search engines most of the time,Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Trust in Brands (6-10),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4),Distrust in Brands (0-4)
,,Strongly disagree,Tend to disagree,Neither nor,Tend to agree,Strongly Agree,Agree,Disagree,Strongly disagree,Tend to disagree,Neither nor,Tend to agree,Strongly Agree,Agree,Disagree,Strongly disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Strongly agree,Agree,Disagree,Strongly disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Strongly agree,Agree,Disagree,Fox News,CNN,NBC/MSNBC News,ABC News,CBS News,Yahoo! News,Local television news,New York Times,Washington Post,HuffPost (Huffington Post),Buzzfeed News,NPR News,Breitbart,Wall Street Journal,Vice News,Fox News,CNN,NBC/MSNBC News,ABC News,CBS News,Yahoo! News,Local television news,New York Times,Washington Post,HuffPost (Huffington Post),Buzzfeed News,NPR News,Breitbart,Wall Street Journal,Vice News
gender_int. Which gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2401,412,555,603,689,142,831,967,154,353,675,948,271,1219,507,596,801,702,237,65,302,1397,278,572,953,513,85,598,850,1040,1204,1237,1292,1296,885,1510,1239,1210,955,714,973,455,1330,481,945,786,685,588,605,607,336,671,604,701,677,511,927,440,404
Base: All,2399,405,554,612,683,144,827,960,164,349,680,931,274,1205,514,588,791,701,248,70,318,1380,286,553,935,533,92,625,839,1035,1215,1240,1301,1312,896,1515,1259,1225,955,734,976,455,1319,529,943,767,664,573,583,603,333,649,585,685,680,502,931,447,409
Male,1192,237,288,258,330,78,408,525,104,184,305,441,157,599,288,347,382,299,122,41,163,730,177,281,407,276,51,327,458,519,592,601,628,648,469,738,615,605,451,364,526,272,651,313,483,427,386,341,354,327,189,374,344,401,370,312,516,269,229
Female,1207,168,266,354,352,67,419,434,61,165,375,490,117,606,226,241,409,402,126,29,155,650,109,272,528,257,40,298,381,515,623,639,673,664,427,777,644,621,505,371,450,184,668,216,461,340,277,232,229,276,144,276,241,284,310,190,415,178,180
Age_rc. Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2401,412,555,603,689,142,831,967,154,353,675,948,271,1219,507,596,801,702,237,65,302,1397,278,572,953,513,85,598,850,1040,1204,1237,1292,1296,885,1510,1239,1210,955,714,973,455,1330,481,945,786,685,588,605,607,336,671,604,701,677,511,927,440,404
Base: All,2399,405,554,612,683,144,827,960,164,349,680,931,274,1205,514,588,791,701,248,70,318,1380,286,553,935,533,92,625,839,1035,1215,1240,1301,1312,896,1515,1259,1225,955,734,976,455,1319,529,943,767,664,573,583,603,333,649,585,685,680,502,931,447,409
18-24,274,30,83,83,65,13,78,113,17,58,92,83,25,107,75,46,105,90,27,6,32,151,26,62,103,73,10,83,88,108,146,135,147,144,97,157,163,148,119,93,116,37,135,84,109,59,41,30,34,53,26,41,35,48,85,29,98,45,41
